Name,Province,Riding,Party,House Owner,Landlord,Investments,Investment Portfolio
Diane Lebouthillier,Quebec,Gaspésie—Les Îles-de-la-Madeleine,Liberal Party of Canada,Y,Y,Y,"Banking, Vanguard"
Élisabeth Brière,Quebec,Sherbrooke,Liberal Party of Canada,Y,N,N,
Emmanuel Dubourg,Quebec,Bourassa,Liberal Party of Canada,Y,Y,N,Landlord
Emmanuella Lambropoulos,Quebec,Saint-Laurent,Liberal Party of Canada,Y,N,N,
Fayçal El-Khoury,Quebec,Laval—Les Îles,Liberal Party of Canada,Y,N,Y,"Banking, asset management, telecom, trust"
Francis Scarpaleggia,Quebec,Lac-Saint-Louis,Liberal Party of Canada,Y,N,Y,"Trust, Banking, Telecom"
François-Philippe Champagne,Quebec,Saint-Maurice—Champlain,Liberal Party of Canada,Y,Y,Y,"Trust, landlord, loan profiting"
Greg Fergus,Quebec,Hull—Aylmer,Liberal Party of Canada,Y,N,N,
Jean-Yves Duclos,Quebec,Québec,Liberal Party of Canada,Y,N,N,
Joël Lightbound,Quebec,Louis-Hébert,Liberal Party of Canada,Y,N,Y,"Bitcoin, Tesla"
Justin Trudeau,Quebec,Papineau,Liberal Party of Canada,Y,Y,Y,"Trust, Lumber, Three more trusts"
Marc Miller,Quebec,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,Liberal Party of Canada,Y,Y,N,landlord
Marie-Claude Bibeau,Quebec,Compton—Stanstead,Liberal Party of Canada,Y,N,Y,Holding
Mélanie Joly,Quebec,Ahuntsic-Cartierville,Liberal Party of Canada,Y,N,Y,"Banking, Couche Tard, Partner Dividends"
Pascale St-Onge,Quebec,Brome—Missisquoi,Liberal Party of Canada,Y,Y,N,Landlord
Patricia Lattanzio,Quebec,Saint-Léonard—Saint-Michel,Liberal Party of Canada,Y,Y,Y,"Pfizer, Banking, landlord"
Peter Schiefke,Quebec,Vaudreuil—Soulanges,Liberal Party of Canada,Y,Y,N,landlord
Rachel Bendayan,Quebec,Outremont,Liberal Party of Canada,Y,Y,Y,"Landlord, Real Estate, Medical"
Sameer Zuberi,Quebec,Pierrefonds—Dollard,Liberal Party of Canada,Y,Y,N,Landlord
Sherry Romanado,Quebec,Longueuil—Charles-LeMoyne,Liberal Party of Canada,Y,N,Y,"S&P, Vanguard"
Sophie Chatel,Quebec,Pontiac,Liberal Party of Canada,Y,N,Y,S&P
Soraya Martinez Ferrada,Quebec,Hochelaga,Liberal Party of Canada,Y,Y,Y,"Artisans investments, Landlord"
Stéphane Lauzon,Quebec,Argenteuil—La Petite-Nation,Liberal Party of Canada,Y,N,Y,Owns a few unnamed businesses.
Steven Guilbeault,Quebec,Laurier—Sainte-Marie,Liberal Party of Canada,Y,N,N,"Has ""extra jobs?"""
Steven Mackinnon,Quebec,Gatineau,Liberal Party of Canada,Y,Y,Y,"Holding, Real Estate"
Yves Robillard,Quebec,Marc-Aurèle-Fortin,Liberal Party of Canada,UNDISCLOSED,UNDISCLOSED,UNDISCLOSED,
Alexandre Boulerice,Quebec,Rosemont—La Petite-Patrie,New Democratic Party,Y,Y,N,Landlord
Andrew Scheer,Saskatchewan,Regina—Qu'Appelle,Conservative Party of Canada,Y,Y,Y,"Realty, Banking"
Brad Redekopp,Saskatchewan,Saskatoon West,Conservative Party of Canada,Y,Y,Y,"Landlord, Banking, Natural resources, oil,"
Cathay Wagantall,Saskatchewan,Yorkton—Melville,Conservative Party of Canada,Y,N,Y,Printing
Corey Tochor,Saskatchewan,Saskatoon—University,Conservative Party of Canada,Y,Y,Y,"Banking, Landlord, Realty"
Fraser Tolmie,Saskatchewan,Moose Jaw—Lake Centre—Lanigan,Conservative Party of Canada,Y,N,N,
Gary Vidal,Saskatchewan,Desnethé—Missinippi—Churchill River,Conservative Party of Canada,Y,N,Y,"Holding Company,"
Jeremy Patzer,Saskatchewan,Cypress Hills—Grasslands,Conservative Party of Canada,Y,Y,N,Landlord
Kelly Block,Saskatchewan,Carlton Trail—Eagle Creek,Conservative Party of Canada,Y,Y,N,Landlord
Kevin Waugh,Saskatchewan,Saskatoon—Grasswood,Conservative Party of Canada,Y,Y,Y,"Oil, Realty"
Michael Kram,Saskatchewan,Regina—Wascana,Conservative Party of Canada,Y,N,N,
Randy Hoback,Saskatchewan,Prince Albert,Conservative Party of Canada,Y,Y,N,Landlord
Robert Kitchen,Saskatchewan,Souris—Moose Mountain,Conservative Party of Canada,Y,N,N,
Rosemarie Falk,Saskatchewan,Battlefords—Lloydminster,Conservative Party of Canada,Y,Y,N,extra employment with energy corp
Warren Steinley,Saskatchewan,Regina—Lewvan,Conservative Party of Canada,Y,N,N,
Brendan Hanley,Yukon,Yukon,Liberal Party of Canada,Y,Y,N,"Meta, Google, Banking, Pfizer, Suncor, Tesla, Vanguard, S&P, much more."
